Category,Item Name,Calories,Price,Description,Image Path
أطباق الدجاج,وجبة دجاج مسحب – ١٠ قطع,1262,21,"قطع دجاج مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعة خبز ، بطاطس، ٢ صلصة مسحب",images\382f6d5233ba450b0d8fe9f1c7e67e32.jpg
أطباق الدجاج,وجبة دجاج مسحب حراق – ١٠ قطع,1282,21,"قطع دجاج حراق مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعة خبز ، بطاطس، ٢ صلصة مسحب",images\382f6d5233ba450b0d8fe9f1c7e67e32.jpg
أطباق الدجاج,وجبة دجاج البيك الحراق – ٤ قطع,1445,21,"قطع دجاج حراق مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعة خبز ، بطاطس، ٢ صلصة ثوم",images\a9e10a9f83b91bfec68169151c725bdb.jpg
أطباق الدجاج,وجبة دجاج مسحب – ٧ قطع,1052,19,"قطع دجاج مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة: قطعة خبز ، بطاطس، ٢ صلصة مسحب",images\9524292d4c916472b4c2c5ac854169b6.jpg
سندويشات بحرية,سوبر بيك جمبري - 8 قطع,880,23.5,"قطع من الجمبري الملفوف بخبز الصاج السوبر وعلى كميات سوبر من سطلة الملفوف، الخيار المخلل، وصلصة البيكالمميّزة.",images\ae4da0172b8ec6513de6c94a43f935e0.jpg
سندويشات بحرية,سوبر بيك جمبري حراّق  - 8 قطع,820,23.5,"قطع من الجمبري الملفوف بخبز الصاج السوبر وعلى كميات سوبر من سطلة الملفوف، الخيار المخلل، هالابينو حار،وصلصة البيك المميّزة حراّق",images\ae4da0172b8ec6513de6c94a43f935e0.jpg
أطباق الدجاج,وجبة دجاج مسحب – ١٠ قطع,1262,21,"قطع دجاج مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعة خبز ، بطاطس، ٢ صلصة مسحب",images\382f6d5233ba450b0d8fe9f1c7e67e32.jpg
أطباق الدجاج,وجبة دجاج مسحب حراق – ١٠ قطع,1282,21,"قطع دجاج حراق مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعة خبز ، بطاطس، ٢ صلصة مسحب",images\382f6d5233ba450b0d8fe9f1c7e67e32.jpg
أطباق الدجاج,وجبة دجاج مسحب – ٧ قطع,1052,19,"قطع دجاج مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة: قطعة خبز ، بطاطس، ٢ صلصة مسحب",images\9524292d4c916472b4c2c5ac854169b6.jpg
أطباق الدجاج,وجبة دجاج مسحب حراق – ٧ قطع,1066,19,"قطع دجاج حراق مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة: قطعة خبز ، بطاطس، ٢ صلصة مسحب",images\9524292d4c916472b4c2c5ac854169b6.jpg
أطباق الدجاج,وجبة دجاج البيك – ٤ قطع,1378,21,"قطع دجاج مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعة خبز ، بطاطس، ٢ صلصة ثوم",images\a9e10a9f83b91bfec68169151c725bdb.jpg
أطباق الدجاج,وجبة دجاج البيك الحراق – ٤ قطع,1445,21,"قطع دجاج حراق مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعة خبز ، بطاطس، ٢ صلصة ثوم",images\a9e10a9f83b91bfec68169151c725bdb.jpg
أطباق الدجاج,وجبة دجاج البيك – 8 قطع,2448,41,"قطع دجاج مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعتين خبز ، بطاطس، 4 صلصة ثوم",images\fddb1c87c22f84d02419133dff29409a.jpg
أطباق الدجاج,وجبة دجاج البيك الحراق – 8 قطع,2582,41,"قطع دجاج حراق مقرمشة وفقًا لأعلى معايير الجودة تتضمن الوجبة : قطعتين خبز ، بطاطس، 4 صلصة ثوم",images\fddb1c87c22f84d02419133dff29409a.jpg
أطباق الدجاج,بيكيز صدور الدجاج - 5 قطع,940,15.5,"5 قطع مقرمشة من صدور الدجاج بدون عظم و بدون جلد تتصمن الوجبة: خبز ، شيبس البيك ، صلصة مسحب وصلصة ثوم",images\ee7c2c292f756e986c46b7db4ab1de2d.jpg
أطباق الدجاج,بيكيز صدور الدجاج الحراق - 5 قطع,940,15.5,"قطع مقرمشة من صدور الدجاج الحراق بدون عظم و بدون جلد تتصمن الوجبة: خبز ، شيبس البيك ، صلصة مسحب وصلصةثوم",images\ee7c2c292f756e986c46b7db4ab1de2d.jpg
أطباق الدجاج,بيكيز أفخاذ الدجاج - 5 قطع,1035,15.5,"5 قطع مقرمشة من أفخاذ الدجاج بدون عظم و بدون جلد تتضمن الوجبة: خبز، شيبس البيك، صلصة مسحب وصلصة ثوم",images\8e15cfe193e53e0b9962998f9df8c891.jpg
أطباق بحرية,وجبة الجمبري الجامبو – ١٢ قطعة,2104,50.5,"١٢ قطعة جمبري جامبو تقدم مع البطاطس، قطعة خبز ، ٢ سلطة ملفوف ، ٢ صلصة كوكتيل",images\9a0f9979cbec1aeb174632a0e84fe2b1.jpg
أطباق بحرية,وجبة الجمبري الجامبو – ١٠ قطع,1430,37.5,"١٠ قطع جمبري جامبو تقدم مع البطاطس، قطعة خبز ، ٢ صلصة كوكتيل",images\2730ea00b7b9b8f937a621fc748308a3.jpg
أطباق بحرية,وجبة الجمبري الإقتصادية - 10 قطع,1140,28.5,"١٠ قطع جمبري تقدم مع البطاطس، قطعة خبز ، ٢ صلصة كوكتيل",images\fac7f284be0fd96c3ecdf1a624c283a9.jpg
أطباق بحرية,وجبة الجمبري الحراق الإقتصادية - 10 قطع,1170,28.5,"١٠ قطع جمبري حراق تقدم مع البطاطس، قطعة خبز ، ٢ صلصة كوكتيل",images\fac7f284be0fd96c3ecdf1a624c283a9.jpg
أطباق بحرية,وجبة فيليه السمك - 6 قطع,1270,29.5,"٦ قطع من فيليه السمك يقدم مع البطاطس ، قطعة خبز ٢ صلصة تارتار",images\81b84772d9a1772b4c8300453168fd21.jpg
أطباق بحرية,وجبة فيليه السمك الحراق - 10 قطع,1150,26.5,"١٠ قطع من فيليه السمك الحراق يقدم مع البطاطس ، قطعة خبز ٢ صلصة كوكتيل",images\3f467d334fe4b89cec3851682de4bf56.jpg
سدنويشات الدجاج,باربكيو بيك,581,11.5,أفخاذ الدجاج مع صلصة الباربكيو وشريحتين من الجبنة,images\eb4adfdc04e8a1ecb25340eaa5455eb1.jpg
سدنويشات الدجاج,بيج بيك مع جبنة,1035,18.5,شريحة صدر دجاج كبير مع سلطة ملفوف والخيار المخلل وصلصة البيك المميّزة والآن مع جبنة.,images\cf0edac2ddcf7377ccf46c25a6f53ef4.jpg
سدنويشات الدجاج,بيج بيك حراق مع جبنة,1117,18.5,شريحة صدر دجاج حراق كبير مع سلطة ملفوف والخيار المخلل وصلصة البيك المميّزة والآن مع جبنة.,images\cf0edac2ddcf7377ccf46c25a6f53ef4.jpg
